name,email,rsvp_status,checked_in_at
anon_42,anon_42@seed.local,confirmed,2026-04-04T10:49:00.000Z
void_walker,void_walker@seed.local,confirmed,2026-04-04T10:53:00.000Z
0x1A3F,0x1A3F@seed.local,confirmed,2026-04-04T10:57:00.000Z
neuromancer,neuromancer@seed.local,confirmed,2026-04-04T11:01:00.000Z
phoebe.tty,phoebe.tty@seed.local,confirmed,2026-04-04T11:05:00.000Z
ghost_in_shell,ghost_in_shell@seed.local,confirmed,2026-04-04T11:09:00.000Z
kernel_panic,kernel_panic@seed.local,confirmed,2026-04-04T11:13:00.000Z
stack_overflow_irl,stack_overflow_irl@seed.local,confirmed,
mr_robot,mr_robot@seed.local,confirmed,
trinity,trinity@seed.local,confirmed,
morpheus_jr,morpheus_jr@seed.local,confirmed,
nullbyte,nullbyte@seed.local,confirmed,
